stock_id,date,open,high,low,close,volume
713,2016-05-05,9.800000,9.850000,9.700000,9.700000,10082
713,2016-05-06,9.700000,9.700000,9.700000,9.700000,57790
713,2016-05-09,9.800000,9.800000,9.700000,9.700000,3936
713,2016-05-10,9.800000,9.800000,9.800000,9.800000,220
713,2016-05-11,9.800000,9.850000,9.800000,9.850000,9500
713,2016-05-12,9.750000,9.800000,9.750000,9.800000,8248
713,2016-05-13,9.900000,9.900000,9.800000,9.850000,14704
713,2016-05-16,9.900000,9.900000,9.850000,9.850000,10000
713,2016-05-17,9.800000,9.900000,9.800000,9.900000,10000
713,2016-05-18,9.800000,9.880000,9.800000,9.880000,4354
713,2016-05-19,9.800000,9.880000,9.800000,9.840000,10772
713,2016-05-20,9.800000,9.820000,9.750000,9.800000,48692
713,2016-05-23,9.750000,9.750000,9.750000,9.750000,4000
713,2016-05-24,9.750000,9.750000,9.700000,9.700000,5914
713,2016-05-25,9.750000,9.750000,9.700000,9.700000,14771
713,2016-05-26,9.700000,9.700000,9.700000,9.700000,64
713,2016-05-27,9.750000,9.800000,9.750000,9.800000,2837
713,2016-05-30,9.800000,9.800000,9.620000,9.655000,2588
713,2016-05-31,9.655000,9.655000,9.655000,9.655000,601
713,2016-06-01,9.655000,9.655000,9.655000,9.655000,0
713,2016-06-02,9.655000,9.655000,9.655000,9.655000,0
713,2016-06-03,9.750000,9.750000,9.750000,9.750000,92
713,2016-06-06,9.750000,9.750000,9.750000,9.750000,1604
713,2016-06-07,9.750000,9.750000,9.750000,9.750000,0
713,2016-06-08,9.750000,9.750000,9.750000,9.750000,0
713,2016-06-09,9.750000,9.750000,9.750000,9.750000,1300
713,2016-06-10,9.750000,9.800000,9.750000,9.800000,2563
713,2016-06-13,9.700000,9.700000,9.700000,9.700000,52
713,2016-06-14,9.700000,9.700000,9.700000,9.700000,0
713,2016-06-15,9.700000,9.700000,9.700000,9.700000,0
713,2016-06-16,9.700000,9.700000,9.700000,9.700000,0
713,2016-06-17,9.700000,9.700000,9.650000,9.650000,16379
713,2016-06-20,9.800000,9.880000,9.660000,9.880000,32081
713,2016-06-21,9.750000,9.750000,9.675000,9.675000,435
713,2016-06-22,9.675000,9.675000,9.675000,9.675000,0
713,2016-06-23,9.750000,9.750000,9.750000,9.750000,116
713,2016-06-24,9.670000,9.750000,9.650000,9.750000,20452
713,2016-06-27,9.750000,9.750000,9.750000,9.750000,64
713,2016-06-28,9.750000,9.750000,9.750000,9.750000,2797
713,2016-06-29,9.750000,9.750000,9.700000,9.750000,52516
713,2016-06-30,9.750000,9.750000,9.750000,9.750000,6930
713,2016-07-01,9.750000,9.750000,9.750000,9.750000,500
713,2016-07-04,9.655000,9.655000,9.655000,9.655000,52
713,2016-07-05,9.775000,9.780000,9.750000,9.780000,34000
713,2016-07-06,9.900000,9.900000,9.730000,9.730000,818
713,2016-07-07,9.750000,9.750000,9.750000,9.750000,1585
713,2016-07-08,9.750000,9.750000,9.750000,9.750000,6507
713,2016-07-11,9.750000,9.750000,9.750000,9.750000,0
713,2016-07-12,9.750000,9.750000,9.750000,9.750000,0
713,2016-07-13,9.750000,9.800000,9.750000,9.750000,60412
713,2016-07-14,9.750000,9.800000,9.750000,9.750000,17000
713,2016-07-15,9.750000,9.800000,9.750000,9.800000,5000
713,2016-07-18,9.750000,9.800000,9.750000,9.800000,24071
713,2016-07-19,9.800000,9.800000,9.800000,9.800000,2337
713,2016-07-20,9.800000,9.800000,9.800000,9.800000,1531
713,2016-07-21,9.750000,9.750000,9.750000,9.750000,5000
